Make,Type,Year,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Mileage,Region,Price
Kia,Picanto,2015,Saudi,Another Color,Standard,1.0,Gas,Automatic,136000.0,Al-Medina,18500.0
GMC,Yukon,2008,Saudi,White,Full,5.3,Gas,Automatic,200000.0,Jeddah,38000.0
Hyundai,Sonata,2018,Saudi,Grey,Standard,2.4,Gas,Automatic,55000.0,Riyadh,60000.0
Kia,Cores,2014,Saudi,White,Full,3.5,Gas,Automatic,81000.0,Jeddah,78000.0
Honda,Accord,2018,Saudi,White,Semi Full,1.6,Gas,Automatic,32000.0,Jeddah,97000.0
Toyota,Camry,2017,Gulf Arabic,White,Standard,2.5,Gas,Automatic,97000.0,Dammam,68000.0
Chevrolet,Tahoe,2019,Saudi,Black,Standard,5.3,Gas,Automatic,117000.0,Riyadh,145000.0
Hyundai,Kona,2019,Saudi,Black,Standard,2.0,Gas,Automatic,76000.0,Jeddah,56000.0
Hyundai,Creta,2017,Saudi,Silver,Semi Full,1.6,Gas,Automatic,125000.0,Al-Ahsa,57000.0
Chevrolet,Impala,2018,Saudi,Silver,Standard,3.6,Gas,Automatic,75000.0,Riyadh,64000.0
GMC,Yukon,2011,Saudi,White,Full,8.0,Gas,Automatic,200.0,Taef,70000.0
Nissan,Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,88795.0,Riyadh,26500.0
Kia,Rio,2016,Saudi,Grey,Standard,1.4,Gas,Automatic,272232.0,Riyadh,26500.0
Nissan,Sunny,2017,Saudi,White,Standard,1.5,Gas,Automatic,145161.0,Riyadh,27000.0
Nissan,Sunny,2018,Saudi,Grey,Standard,1.5,Gas,Automatic,117081.0,Riyadh,27000.0
Honda,Odyssey,2015,Saudi,Grey,Standard,3.5,Gas,Automatic,192000.0,Dammam,58000.0
Geely,EC8,2016,Saudi,Silver,Full,3.5,Gas,Automatic,80000.0,Aseer,22000.0
Mazda,6,2014,Other,Black,Full,2.5,Gas,Manual,201000.0,Riyadh,42000.0
Toyota,Prado,2018,Gulf Arabic,White,Semi Full,4.0,Gas,Automatic,39000.0,Riyadh,131500.0
Nissan,Sylvian Bus,2018,Saudi,White,Full,3.0,Gas,Manual,3000.0,Riyadh,107000.0
Toyota,Prado,2018,Gulf Arabic,White,Semi Full,4.0,Gas,Automatic,86000.0,Riyadh,127000.0
